osm_type,osm_id,name,name:be,name:ru
way,641302050,Пограничная зона - Border line,Памежная зона,Пограничная зона
way,29172806,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,29172826,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,29173126,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,35403194,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,41800399,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,102559987,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,118077127,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,163782629,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,243532584,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,243532586,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,275056486,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,323395601,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,458352672,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,480091586,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,496438893,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,499709927,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,499709929,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500756946,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500881995,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500881998,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500893531,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500893533,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500893535,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,504178096,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,504178098,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,504186638,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,512580954,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,512580955,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,512580956,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
