osm_type,osm_id,name,name:be,name:ru
way,778771113,Автозавод,,Автозавод
way,706436000,Березинская,,Березинская
way,312081204,Бобруйск Западная,,Бобруйск Западная
way,381921093,Бобруйск Центральная,,Бобруйск Центральная
way,57056621,Бобруйск Южная,,Бобруйск Южная
way,800135194,Болонов Селец,,Болонов Селец
way,296322686,Болтишки,,Болтишки
way,553199090,Верейцы Тяговая,,Верейцы Тяговая
way,626668068,Ветропарк,,Ветропарк
way,196674336,Волковыск-Южная,,Волковыск-Южная
way,579530452,ГРП №43,,ГРП №43
way,343399640,ГРП-135,,ГРП-135
way,334491952,ГРП-19,,ГРП-19
way,281854210,ГРП-3,,ГРП-3
way,500944068,Газораспределительный пункт,,Газораспределительный пункт
way,600463162,Годылево,,Годылево
way,802962440,Горки Северная,,Горки Северная
way,697027423,Горки Южная,,Горки Южная
way,603448260,Девятковичи,,Девятковичи
way,786235538,Дороганово,,Дороганово
relation,9135101,Дрибин-110,,Дрибин-110
way,802937946,Дрибин-35,,Дрибин-35
way,372252264,Дужевщина,,Дужевщина
way,798988340,Заднепровская,,Заднепровская
way,29128697,Занеманская,,Занеманская
way,392197314,КШТ,,КШТ
way,798956126,Кипячи,,Кипячи
way,474664983,Кировск 110,,Кировск 110
way,536656433,Кировск 35,,Кировск 35
way,778297358,Климовичи-110,,Климовичи-110
way,778297352,Климовичи-35,,Климовичи-35
way,402718568,Кривой Крюк,,Кривой Крюк
way,791669763,Кроноспан,,Кроноспан
way,372365883,Круглое-110,,Круглое-110
way,735166482,Круглое-35,,Круглое-35
way,302884919,Кузнечная,,Кузнечная
way,802674272,Куйбышевская,,Куйбышевская
way,785279672,Ленинская 110,,Ленинская 110
way,798833920,Ленинская 35,,Ленинская 35
way,280998032,Лида Северная,,Лида Северная
way,802995312,Машенаки,,Машенаки
way,802909780,Металлургическая,,Металлургическая
way,702706951,Могилёв Западная,,Могилёв Западная
way,302862370,Могилёв-Северная,,Могилёв-Северная
way,552107577,Осиповичи-35,,Осиповичи-35
relation,7419142,Ошмяны-Тяговая,,Ошмяны-Тяговая
way,142700691,ПГВ,,ПГВ
way,218433521,ПГРП - 4,,ПГРП - 4
way,330414534,"Павильон № 1 РУП ""Могилёвэнерго""",,"Павильон № 1 РУП ""Могилёвэнерго"""
way,494505922,Редкий рог,,Редкий рог
way,427919513,Сельмаш,,Сельмаш
way,778840047,Силикатная,,Силикатная
way,39139345,Синтволокно,,Синтволокно
way,448819244,Скидель-2,,Скидель-2
way,606690496,Слоним-Северная,,Слоним-Северная
way,299032270,Слоним-Южная,,Слоним-Южная
way,302698463,Сожская,,Сожская
way,282414669,Сопоцкино,,Сопоцкино
way,475486642,Станция Берестовица,,Станция Берестовица
way,302885423,Стройбаза,,Стройбаза
way,619806676,Хотимск-110,,Хотимск-110
way,801688772,Хотимск-35,,Хотимск-35
way,281854203,ЦТП № 4-48,,ЦТП № 4-48
node,5206855447,ЦТП №6-71,,ЦТП №6-71
way,778656662,Шестеровка,,Шестеровка
way,778840053,Электродвигатель,,Электродвигатель
