osm_type,osm_id,name,name:be,name:ru
way,25393874,"""Fenox""   Производственный цех №5",,
way,205022173,"""Бабушкина крынка""",,
way,211119059,"""Водстрой""",,
way,324482000,"""Мастерок""",,
way,40127897,"""Тракторсервис""",,
way,442184284,(Бобруйские электрические сети) ТП,,
way,96639467,1 Гож,,
way,96639456,10 Гож,,
way,438188920,101А,,
way,96639458,11 Гож,,
way,508209143,11 Чех,,
way,438188913,114а,,
way,96639447,12 Гож,,
way,96639451,13 Гож,,
way,117702231,13а Чех,,
way,96639452,14 Гож,,
way,117703663,14 Чех,,
way,102824841,14-е депо,,
way,265408918,140-ой ремонтный завод,,
way,96639453,15 Гож,,
way,117703662,15 Чех,,
way,117702278,15а Чех,,
way,117702253,15б Чех,,
way,96640613,16 Гож,,
way,117702286,16 Чех,,
way,205217629,16а Гож,,
way,96640620,17 Гож,,
way,117702230,17 Чех,,
way,96640615,17а Гож,,
way,96640609,18 Гож,,
way,102693081,18а Гож,,
way,96640611,19а Гож,,
way,96640608,19б Гож,,
way,96639468,1а Гож,,
way,117702254,1а Чех,,
way,133202174,1б Гож,,
way,96639460,1в Гож,,
way,96639461,2 Гож,,
way,265601855,2-ая площадка Автогидроусилителя,,
way,205216012,2-й цех,,
way,97527945,20 Гож,,
way,1065693505,209А,,
way,97527941,20а Гож,,
way,106402509,21 Гож,,
way,97527950,21а Гож,,
way,97527954,22 Гож,,
way,97527968,23а Гож,,
way,97527970,24 Гож,,
way,97527971,24а Гож,,
way,97527972,25 Гож,,
way,97527897,26а Гож,,
way,97527918,27 Гож,,
way,97527898,28 Гож,,
way,97527899,29 Гож,,
way,96639462,2а Гож,,
way,96639463,3 Гож,,
way,97527900,31 Гож,,
way,25322646,4-й РЭС филиала Минские кабельные сети,,
way,96639464,5 Гож,,
way,117696195,5 Чех,,
way,25322644,5-й РЭС филиала Минские кабельные сети,,
way,548381625,5а Чех,,
way,90122558,6 Гож,,
way,25322609,6-й РЭС филиала Минские кабельные сети,,
way,102693078,7а Гож,,
way,106403655,8 Гож,,
way,96639455,9а Гож,,
way,117697647,9а Чех,,
way,242860179,IQ гараж,,
way,385400704,LIGRANO ФПМИ,,
way,475377971,"OOO ""ОрбитаПрофит""",,
way,261392717,АБЖ,,
way,248414130,АБК,,
way,478302419,АБК,,
node,5767826296,АБК Газокомпрессорной станции,,
way,288613220,АБК Октябрьский РГС,,
way,279287740,АБК РУДНИК,,
way,279287148,АБК СОФ,,
way,1011463926,АГРС,,
way,508439754,АДАНИ Технолоджис,,
way,175607956,"АТС ""Белтелеком""",,
way,564740370,"АТС ""Киселевичи"" Белтелеком",,
way,72427269,АТС-5,,
way,904458872,Автодворик,,
way,289263158,Автолюкс,,
way,243083013,Автомобильный парк,,
way,246992459,Автосалон ПолесьеГАЗавтосервис,,
way,731104747,Автостёкла (ИП Грицук Ю.Н),,
way,254330807,"Автотранспортный участок, РМУ, РСУ",,
way,337967634,"Автоцентр ""AutoHome""",,
way,318035002,Агрохимлаборатория,,
way,29128471,Азотно-кислородная станция,,
way,25313580,АкадемФарм,,
way,306092265,Алютех воротные системы,,
way,169682759,Амкадор,,
way,42369296,Амкодор-Пинск,,
way,25320586,Аммиак,,
way,142686676,Аммиак-3,,
way,504590771,Аникс Саниа,,
way,493489333,Арматурный цех,,
way,418525431,Артезианская скважины № 35,,
way,315263207,Ачысныя,,
way,443259833,"БГП ""ВОДОКАНАЛ"" КНС",,
way,443259834,"БГП ""ВОДОКАНАЛ"" КНС",,
way,443259835,"БГП ""ВОДОКАНАЛ"" КНС",,
way,443259982,"БГП ""ВОДОКАНАЛ"" КНС",,
way,205594422,БЕЛПРОМИМПЭКС,,
way,283918880,"БКУДП ""Теплоэнергетики"" Участок № 7",,
way,97800450,БРВ-Брест,,
way,25387653,Багажное отделение станции Минск-пассажирский Минского отделения БЖД,,
way,204244499,База Климовичского КХП,,
way,391333330,"База РУП ""Минскэнерго""",,
way,304918197,БелОГ,,
way,25324977,Беларусьторг,,
way,25322060,Белбакалея Магазин-склад 8,,
way,362951342,Белгран,,
way,25318790,Белинтелмед ООО,,
way,493489335,Бетонносмесительный узел - бетон,,
way,281162977,Блок складов,,
way,258613341,Бойлерная,,
way,25322030,Бокс 1-5,,
way,358598985,Бокс для ремонта техники,,
way,236562866,Брестский мусороперерабатывающий завод,,
way,104553088,Брестхлебпром,,
way,365894957,Бумажная фабрика Гознака,,
node,5765865413,Буфет термического цеха,,
way,393373825,Бытовки Клецкого РГС,,
way,832489850,Бытовое помещение,,
way,106300538,В.B.Wood,,
way,335861688,Веза-Г,,
way,883435468,Венткиоск метрополитена,,
way,90795244,Вертекс-Брест,,
way,225788525,Весовая / лаборатория,,
way,243083051,Вивако-Техно,,
way,172568425,Водогрейная котельная,,
way,310857012,"Водозабор ""Неман"" ОАО ""Оптик""",,
way,101929429,Воздуходувная станция,,
way,958375582,Вспомогательно-бытовой корпус,,
way,27898542,Вспомогательное здание,,
way,321685115,Вход в бомбоубежище,,
node,275868971,Вход в убежище,,
way,239092394,Выбор,,
way,512489523,ГКНС №1,,
node,5767826297,ГКС,,
way,25321521,ГКС Компрессорная станция 3,,
way,211119062,"ГЛХУ""Чаусский лесхоз""",,
way,512397025,ГНКС №3,,
way,213800987,ГРП,,
way,268934322,ГРП,,
way,456199232,ГРП,,
way,556335217,ГРП,,
way,884853869,ГРП,,
way,897423209,ГРП,,
way,994999066,ГРП,,
way,996064170,ГРП,,
way,1060113009,ГРП,,
way,805237167,ГРП 6,,
way,1001749283,"ГРП ОАО ""ММЗ""",,
way,934773381,ГРП №12,,
way,286653728,ГРП №36,,
way,205488102,ГРП №6,,
way,512334271,ГРП №6,,
way,218562054,ГРП-103,,
way,216766144,ГРП-105,,
way,216927467,ГРП-107,,
way,383055406,ГРП-108,,
way,367816511,ГРП-109,,
way,231706633,ГРП-110,,
way,230963428,ГРП-113,,
way,216814297,ГРП-118,,
way,231192044,ГРП-125,,
way,1002370910,ГРП-126,,
way,215028535,ГРП-127,,
way,1021615336,ГРП-133,,
way,1021689862,ГРП-134,,
way,222448062,ГРП-137,,
way,215246973,ГРП-139,,
way,224493328,ГРП-37,,
way,306791720,ГРП№69,,
way,340059618,ГРС Бобруйск,,
way,302568493,ГРУ-11,,
way,25320620,ГСК Кислородная станция,,
way,25320629,ГСК Компрессорная станция 2,,
way,331032517,"ГСЛУ ""Наровлянский спецлесхоз""",,
way,300898361,ГЩУ,,
way,695946633,Газораспределительная станция Видомля,,
way,456373048,Газораспределительный пункт (ГРП),,
way,273533774,Главный корпус СОФ-2,,
way,244858474,Главный корпус №1,,
way,399931553,Главный корпус №2,,
way,244858476,Главный корпус №3,,
way,316553201,Главный цех,,
way,459028661,"Гомельская СПМК-47 ОАО ""Гомельпромстрой""",,
way,456374753,Градирня ТЭЦ,,
way,286548054,Грибной цех,,
way,502662122,Гродненский мусоросортировочный завод,,
way,62107214,ГродноОптТорг,,
way,337534614,Громин,,
way,437069701,ДИВА-ГРУПП,,
way,244668996,ДПО,,
way,211119063,ДРСУ № 176,,
way,204393538,ДСУ №76,,
way,25318335,ДУП «БЕЛГИДРАВЛИКА» СЭЗ МИНСК» УПП «НИВА» РОМАНОВИЧА С. Г.,,
way,808938001,Дальний приводной маяк 1,,
way,481288571,Дежурный по переезду,,
way,309030090,Дезинфекционный барьер,,
way,367397067,Деревообрабатывающий цех,,
way,437164805,ДиМедиа,,
way,29129437,Диагностическая Станция № 196,,
way,242268749,Диагностическая станция №31,,
way,264888988,ДизельЦентр-67,,
way,478353704,Дискаунтер мебели и фурнитуры,,
way,246992461,Диспетчерская,,
way,318094929,Диспетчерская депо № 1,,
way,260955886,Диспетчерская депо № 2,,
way,451708233,Дистанция водоснабжения,,
way,100672239,Дистанция гражданских сооружений,,
way,275892135,Дистанция пути,,
way,279700440,Дока хлеб,,
way,693965724,Дробление,,
way,291098783,Дружба-Авцюки,,
way,29126666,ЕвроКерамика,,
way,217936765,ЖКХ Котельная,,
way,282453906,Жабинковский район контактной сети,,
way,38843595,Железнодорожный цех,,
way,456373363,Жомоотжимное отделение,,
way,281375526,"ЗАО ""Каскад"" г.Лида",,
way,226845058,"ЗАО ""Танис"", производство",,
way,785031810,"ЗАО ""Танис"", склад",,
way,284094717,"ЗАО ""ЭЛГА""",,
way,25325157,ЗАО БЕЛАВТОГАЗ,,
way,206628481,ЗАО Снежинка,,
way,308362107,ЗВН,,
way,1059397982,ЗРУ,,
way,149591857,ЗРУ СН,,
way,311535844,ЗСК СКУ-10,,
way,204511244,"Завод ""Бабушкина крынка""",,
way,25387942,"Завод ""Стройфарфор"" ОАО ""Керамин""",,
way,25320506,"Завод Вавилова / ГУ ""Научно-практический центр судебных экспертиз Республики Беларусь""",,
way,205043665,Завод РТИ,,
way,65348051,Завод им. Кирова,,
way,191118191,Завод картонной упаковки,,
way,239856276,Заводоуправление ОАО Речицкого Метизного Завода,,
way,608631144,Защитное сооружение ГО 55 Механический цех 1,,
way,608631152,Защитное сооружение ГО 55 Механический цех 1,,
way,393373252,Здание АБК Клецкого РГС,,
way,101929410,Здание решеток 3-й очереди,,
way,397051929,"Зерноочистительно-сушильный комплекс УПП ""Ужица-Агро""",,
way,579867782,Злебозавод,,
way,200558954,ИП «Кока-Кола Бевриджиз Белоруссия»,,
way,29128797,Инструментальный Цех,,
way,29128499,Инструментальный цех,,
way,453066200,Инструментальный цех,,
way,538064363,Инструментальный цех,,
way,29126271,Инструментстройкомплект,,
way,300503555,К З С 8,,
way,271992600,КЗС,,
way,276737652,КЗС,,
way,280449351,КЗС,,
way,287690219,КЗС,,
way,291790875,КЗС,,
way,291790879,КЗС,,
way,291790881,КЗС,,
node,5759094698,КМУ кузнечно молотовой участок,,
way,437147278,КНС 10,,
way,458725781,КНС 13,,
way,991533454,КНС №1,,
way,671133401,КНС №2,,
way,1062467460,КНС №2,,
way,389541140,КОТЕЛЬНАЯ,,
way,612967438,КПП Слепянская проходная,,
way,264824144,КПП-1,,
way,226849196,Кабельный участок ЭТЦС,,
way,103622452,Канализационно-насосная станция,,
way,302120175,Картофелеперерабатывающий завод,,
way,215364563,Кательная,,
way,431448851,Кернохранилище,,
way,39949077,Комбинат детского питания,,
way,460337734,Комплекс по сжиганию,,
way,515564895,Комплекс подготовки производства,,
way,321620568,Комплектовочная,,
way,368107828,Компрессорная,,
way,502078185,Компрессорная,,
way,530648585,Компрессорная,,
way,982059435,Компрессорная,,
way,456373644,Компрессорная станция сжатого воздуха,,
way,213509001,Контора СПК Несята,,
way,246992462,Контора торговой базы РСХТ,,
way,207344335,Конфа ОАО,,
way,610036341,Коптильный цех,,
way,1075173442,Коровник,,
way,1080818613,Коровник,,
way,25320632,Корпус 10,,
way,25324980,Корпус 17,,
way,502757487,Корпус 22/1,,
way,502757488,Корпус 7,,
way,29126237,Корпус крупных пружин № 5,,
way,281162970,Корпус обработки,,
way,25321556,Корпус сборки тракторов,,
way,716646932,Корпус № 3.1,,
way,716646933,Корпус №5,,
way,716063511,Корпус №8,,
way,207694742,Котельная  центральная,,
way,384828993,"Котельная ""Барань""",,
way,157393904,"Котельная ""Раубичи""",,
way,239929479,Котельная ФОК,,
way,257610088,Котельная школы,,
way,158841887,Котельня,,
way,490266165,"Крестьянско-фермерское хозяйство(КФХ) ""Находка Полесья""",,
way,205060969,Легпромразвитие,,
way,76236082,Липласт СПБ,,
way,25321622,Литейный цех 1,,
way,25321563,Литейный цех 2,,
way,25321523,Литейный цех 3,,
way,32682620,Логойский Деревообрабатывающий Комбинат,,
way,236885138,Ляховичский Консервный завод,,
way,236885134,Ляховичский консервный завод,,
way,25322061,МАРХИ,,
way,401594549,МН,,
way,280710928,МОДУЛЬ,,
way,478302417,МСЦ,,
way,358835211,МТФерма,,
way,704357486,Мазуто-насосная,,
way,172568428,Мазутонасосная,,
way,427036804,Масло-сыр завод,,
way,254330811,Маслокамера,,
way,437162579,"Мастерская ""Ремонт мебели""",,
way,29158550,Мастерская ЖЭС-4,,
way,51074025,Мастерские лицея,,
way,254330812,Материальный склад,,
way,27900951,Мебельное производство,,
way,204239007,Мелиорация,,
way,170063501,Металлконтракт,,
way,101351846,Мех.цех,,
way,205049749,Механический цех,,
way,25322074,Механический цех 1,,
way,25321561,Механический цех 2,,
way,25322068,Механический цех 3,,
way,25321551,Механический цех 4,,
way,25321516,Механический цех 7,,
way,25320634,Механический цех №6,,
way,25403273,Механический цэх 5,,
way,263257179,Механосборочный цех,,
way,25390794,МиниТЭЦ,,
way,239848620,МиниТЭЦ,,
way,35995630,Минская печатная фабрика гознака,,
way,960686112,Минская печатная фабрика гознака,,
way,510460135,Минский аэроклуб ДОСААФ,,
way,27447821,Минский молочный завод №1,,
way,470477271,Минскитеркапс,,
way,391556395,Могилевский райтопсбыт,,
way,499360755,Модельный цех,,
way,242266011,Мозырские Городские Районные Электрические Сети,,
way,431464322,Мозырские теплосети,,
way,205049783,Мозырский машиностроительный завод,,
way,254330813,Мойка поддонов,,
way,330916887,Молоко-завод,,
way,471607936,Молокоприемный пункт,,
way,103538437,Молоток,,
way,180104876,Молочно-товарная ферма «Заречье»,,
way,321396726,Молочно-товарная ферма «Путилово»,,
way,245119393,Молочный цех,,
way,515564893,Моторный цех,,
way,648369525,Моторный цех,,
way,209379696,Мясной цех,,
way,156952150,Мясозавод,,
way,663436372,Мясоперерабатывающий цех ИП Вербицкий В.Н.,,
way,25326800,Мінскі завод Кастычніцкай рэвалюцыі,,
way,205339473,"НПК ""Наука"", ООО ""Промлит"", ""Fazon""",,
way,762436242,НПО Пассат,,
way,101351524,Наладка,,
way,25322021,Насосная 20,,
way,552064638,Насосная водосброса,,
way,254330815,Насосная водоснабжения,,
way,280466185,Натуральные колвасные оболочки Белкеизинг,,
way,234318205,"ОАО ""Барановичхлебопродукт""",,
way,330910507,"ОАО ""ГомельАТЕП""",,
way,265853636,"ОАО ""Конструкторское бюро ""Дисплей""",,
way,239867120,"ОАО ""Красный мозырянин""",,
way,304918201,"ОАО ""Радиоволна""",,
way,238981527,"ОАО ""Сатурн""",,
way,266840136,"ОАО ""Сатурн""",,
way,275731151,"ОАО ""Смиловичская валяльно-войлочная фабрика""",,
way,27903116,ОАО Витфарммаркет,,
node,5770014480,ОАО МТЗ Цех специального инструмента и техноголической оснастки,,
way,25323490,ОАО «Промсвязь»,,
way,437164799,"ОДО ""Гамма плюс""",,
way,239613083,"ОДО ""Мебель-Бис""",,
way,437164795,"ОДО ""Профит""",,
way,29127135,"ОДО ""Урал""",,
way,27898526,ОДО «ЭССА»,,
way,322085224,ОКС,,
way,250098292,"ООО ""Белвок""",,
way,222038590,"ООО ""Белэкотехника""",,
way,281424423,"ООО ""Виктория КВЦ""",,
way,275387393,"ООО ""Витебский комбинат здорового питания""",,
way,38845405,"ООО ""Десятка - Гродно""",,
way,388366791,"ООО ""Европластпроект""",,
way,365649404,"ООО ""Завод АллуАр""",,
way,403847934,"ООО ""Институт горной электротехники и автоматизации""",,
way,431446335,"ООО ""Каштарыс""",,
way,205339471,"ООО ""МЗПП""",,
way,52105347,"ООО ""НПО ""Пассат""",,
way,230753496,"ООО ""НПО ""Пассат""",,
way,27900193,"ООО ""НПЦ ""Европрибор""",,
way,52105354,"ООО ""Научно-производственное объединение ""Пассат""",,
way,403847974,"ООО ""Пассатсталь""",,
way,25386787,"ООО ""Первая образцовая типография""",,
way,447966788,"ООО ""Прайд-энерго""",,
way,218212618,"ООО ""Салита""",,
way,705736433,"ООО ""Салита""",,
way,394428171,"ООО ""Симпл Крафт""",,
way,239848660,"ООО ""Стальгрит""",,
way,314705790,"ООО ""Сэйлис""",,
way,89305443,"ООО ""УниверсалСистем""",,
way,368178174,"ООО ""Центр строительства и ремонта""",,
way,508185617,ООО «АиДбулат»,,
way,38865600,ООО «Гродно Стеклоузор»,,
way,29127261,ООО «Гротекс»,,
way,29127139,ООО «Мале Летрика Бел»,,
way,1050809545,ООО «Массив дизайн»,,
node,3340273451,ООО «Сосновый Бор»,,
way,119775105,ООО «Стильный дом»,,
way,51182099,ООО ТСК Евразия,,
way,406404660,"ООО""Термобаз""",,
way,155693217,ОПУ-1,,
way,155693240,ОПУ-2,,
way,300898365,ОПУ-2,,
way,300898362,ОПУ-3,,
way,300898363,ОПУ-4,,
way,300898366,ОПУ-5,,
way,300898367,ОПУ-6,,
way,149591851,ОПУ-7,,
way,149591856,ОПУ-8,,
way,149591854,ОПУ-9,,
way,25321560,Обрубное отделение Лит 1,,
way,25321558,Обрубное отделение стальцеха,,
way,38851049,Обслуживание и ремонт газового оборудования,,
way,671311941,Объединенный газовый корпус,,
way,235260903,"Овощная база ОАО ""Базис"" Новополоцк",,
way,239613091,Окна Добрыни,,
way,704559988,Оршанская дистанция сигнализации и связи,,
node,5767372313,Отдел технического,,
way,384315183,ПВИН,,
way,484384353,ПГ ф-ка Восход,,
way,278389935,ПГРП,,
way,301758625,ПГРП №1,,
way,209972023,ПГРП-8,,
way,25392298,ПМК-1,,
way,35692810,ПМК-55,,
way,25321600,ПМП-1,,
way,512604241,ПНС Аульс,,
way,453006363,"ПООО ""Гомельское объединение инвалидов""",,
way,93076173,ППТО Полесье,,
way,283559701,ПТО ВЧД-3,,
way,29126603,ПТОР,,
way,29126628,ПТОР,,
way,242397035,"ПТФ ""Гомельместпром""",,
way,287513089,"ПУ ""Слониммежрайгаз""",,
way,351597056,"ПУП ""Рубин"" ОО БелОИ",,
way,204646844,"Парфюмерно-косметическая фабрика ""Сонца""",,
way,105475170,Первый монтажный цех,,
way,399104680,Переработка мусора,,
way,368328629,Петриковский судостроительный-судоремонтный завод,,
way,513999323,Пилорама Куты,,
way,459600487,Пилорама Лесохимучастка,,
way,590057854,Пластик текнолоджиз,,
way,303027637,Повысительная насосная станция,,
way,226912757,Погрузпункт Поставы,,
way,612970511,Подземное сооружение,,
way,612970512,Подземное сооружение,,
way,402899528,Полимиз,,
way,289719435,Помещение теплогенератора,,
way,260954062,Прачка,,
way,25322066,Прессовый корпус,,
way,95616797,Приборский ДК,,
way,988815123,Приёмный пункт магазина № 1,,
way,288679089,Производственно-складской корпус,,
way,958375580,Производственно-складской корпус,,
way,958375581,Производственно-складской корпус,,
way,391749521,Производственное здание,,
way,352820685,"Производственное здание ООО ""Шумартекс""",,
way,25394181,"Производственное предприятие ""Светоприбор""",,
way,404911068,"Производственные цеха ООО ""Еврокамень""",,
way,265345163,Производственный Цех ГГТУ,,
way,1017868976,Производственный корпус B4,,
way,1017868975,Производственный корпус B5,,
node,5239162824,Производственный корпус №1,,
way,25389502,Производственный корпус №4,,
way,230176855,"Производственный цех ""Маква""",,
way,241804227,"Производственный цех ООО ""Евросиликат""",,
way,352826490,Производство ветеринарных препаратов,,
way,352827066,Производство ветпрепаратов,,
way,640743235,Производство памятников,,
way,300195593,"Проходная ""ГазпромТрансгаз Беларусь""",,
node,2620146642,Проходная №2,,
