osm_type,osm_id,name,name:be,name:ru
way,147256920,"""Культовары""","""Культавары""",
way,155762316,"""Озерный""","""Азёрны""",
way,128517209,"""Петрушка""",Крама,
way,27896566,1-й корп.,1-шы корп.,
way,125685612,7 Ветров,7 вятроў,
way,158170813,АвтоСила,АўтоМоц,
way,254315828,Автоиндустрия,Аўтаіндустрыя,
way,109932367,Автоклавная,Аўтаклаўная,
way,123795112,Автосеть,Аўтасетка,
way,574599449,"Автоцентр ""Либра 2000""","Аўтацэнтр ""Лібра 2000""",
way,27896728,Админ.-хоз. часть,Адмін-гасп. частка,
way,27898680,Административное здание,Адміністрацыйны будынак,
way,48183637,Административное здание,Адміністрацыйны будынак,
way,161658575,Административное здание,Адміністрацыйны будынак,
way,168096939,Административное здание,Адміністрацыйны будынак,
way,168096940,Административное здание,Адміністрацыйны будынак,
way,168984933,Административное здание,Адміністрацыйны будынак,
way,256490757,Административное здание,Адміністрацыйны будынак,
way,427358243,Административное здание,Адміністрацыйны будынак,
relation,1967077,Администрация Московского района г.Минска,Адміністрацыя Маскоўскага раёна г. Мінска,
way,96526074,"Администрация рыбхоза ""Альба""","Адміністрацыя рыбгаса ""Альба""",
way,190698490,Аквапарк «Лебяжий»,Аквапарк «Лябяжы»,
way,71296661,Алекор Магазин №26 Лаки-Краски,Алекор Крама №26 Лакі-Фарбы,
way,36072124,Аптека № 62,"Белфармацыя, аптэка №62",
way,242769577,Аптека №154,Аптэка №154,
way,1024320079,БЕЛПОШТА 225078,БЕЛПОШТА,
way,338298740,"БЦ ""Каменногорский""","БЦ ""Каменнагорскі""",
way,62071784,Бабиничский ОМ УВД Оршанского райисполкома,Бабініцкі АМ УУС Аршанскага райвыканкама,
way,25393392,Бавария,Баварыя,
way,172184158,Банкетный зал,Банкетная зала,
way,285569658,Банкетный зал,Банкетная зала,
way,676491661,Банкетный зал,Банкетная зала,
way,757925853,Банкетный зал,Банкетная зала,
way,626228822,Баня,Лазня,
way,978429709,Баня,Лазня,
way,101321826,Баня городская,Баня гарадская,
way,39949076,Бассейн Бодрость,Бадзёрасць,
way,692472678,Батчинский сельсовет,Батчынскі сельсавет,
way,961636223,Башмачок,Чаравічак,
way,25320278,Беларусбанк филиал 614,Беларусбанк філіял 614,
way,25393489,Белгазтехника,Белгазтэхніка,
way,25392367,Белорусская сельскохозяйственная библиотека,Беларуская сельскагаспадарчая бібліятэка,
way,147254969,Бешенковичский райисполком,Райвыканкам,
way,447696733,Библиотека №4,Бібліятэка №4,
way,299122149,Билетная касса,Квітковая каса,
way,31583957,Ботанический корп.,Батанічны корпус,
way,241791800,Браво,Брава,
way,193513649,Бухгалтерия,Бухгалтэрыя,
way,210212595,Бухгалтерия,Бухгалтэрыя,
way,101440605,Былина,Быліна,
way,169039317,ВССК,ВСБК,
way,289715362,Валерия,Валерыя,
way,834781030,Валерия,Валерыя,
way,25387523,Верховный суд РБ,Вярхоўны суд Рэспублікі Беларусь,
way,167348223,Ветковская библиотека,Веткаўская бібліятэка,
way,167348316,Ветковский райисполком,Веткаўскі райвыканкам,
way,256942807,Взрослая библиотека,Бібліятэка,
way,103223787,Витебсквтормет,Віцебскдругмет,
way,109760326,Витебский райисполком,Віцебскі райвыканкам,
way,28658272,Витебский телецентр,Віцебскі тэлецэнтр,
way,25391022,Военкомат Фрунзенского района,Ваенны камісарыят Фрунзенскага раёна г. Мінска,
way,60387553,Волмянское лесничество,Валмянскае лясніцтва,
way,44534230,"ГГУ им. Ф. Скорины, Корпус № 2","ГДУ імя Ф. Скарыны, Корпус № 2",
way,44534231,"ГГУ им. Ф. Скорины, Корпус № 3","ГДУ імя Ф. Скарыны, Корпус № 3",
way,44534233,"ГГУ им. Ф. Скорины, Корпус №1","ГДУ імя Ф. Скарыны, Корпус № 1",
way,44534225,"ГГУ им. Ф. Скорины, Корпус №4 (главный)","ГДУ імя Ф. Скарыны, Корпус № 4 (галоўны)",
way,44534226,"ГГУ им. Ф. Скорины, Корпус №5","ГДУ імя Ф. Скарыны, Корпус № 5",
way,25391827,ГУОРД МВД РБ,ГУАВД МУС РБ,
way,37437044,Газовый колодец,Газавы калодзеж,
way,131608723,Гастроном Удобный,Крама,
way,38807353,Гипроживмаш,Дзіпражыўмаш,
way,346516226,Гомельский мясокомбинат,Гомельскі мясакамбінат,
way,243078815,Городищенский сельсовет,Гарадзішчанскі сельсавет,
way,687619859,Городищенский сельсовет,Гарадзішчанскі сельсавет,
way,112928715,Городской Дворец культуры,Гарадскі палац культуры,
relation,334089,Городской суд,Гарадскі суд,
way,62116462,Городской суд,Гарадскі суд,
way,96029896,Городской центр олимпийского резерва по теннису,Гарадскі цэнтр алімпійскага рэзерву па тэнісе,
way,25431850,Городской эндокринологический диспансер,Гарадскі эндакрыналагічны дыспанцэр,
way,27899322,Госинспекция по семеноводству,Дзяржінспекцыя па насенняводстве,
way,264741397,Государственный магазин,Дзяржаўная крама,
way,490270265,Государственный магазин,Дзяржаўная крама,
way,490270266,Государственный магазин,Дзяржаўная крама,
way,39973259,Гумно,Гумно з Лучнікоў,
way,51181102,"ДК ""Свитанок""","ДК ""Світанак""",
way,200662397,"ДК ""Юность""","ДК ""Юнацтва""",
way,51242200,ДРСУ № 194 ФИЛИАЛ КУП МИНСКОБЛДОРСТРОЙ,ДРБУ №194,
way,204549820,"Дворец Культуры ""Восточный""",Палац культуры “Усходні”,
way,38075254,Дворец детей и молодежи,Цэнтр пазашкольнай работы,
relation,301544,Дворец культуры ОАО «Нафтан»,"Палац культуры ААТ ""Нафтан""",
way,56470728,Дворец тенниса,Палац тэніса,
way,56470732,Дворец тенниса,Палац тэніса,
way,25391853,Детская поликлиника №16,16-я гарадская дзіцячая паліклініка,
way,429162894,Детская профилактическая поликлиника,Дзіцячая прафілактычная паліклініка,
way,39973525,Дом,Хата з Ісерна,
way,133977174,Дом культуры городской,Гарадскі дом культуры,
way,284570729,Дом спорта,Дом спорту,
way,338467955,Дом сторожа,Дом вартаўніка,
way,25387311,Дом торжеств,Дом урачыстасцяў,
way,52158701,Дом футбола,Дом футболу,
way,316372085,Дубово-спорт,Дубава-спорт,
way,307967097,Дубочек,Дубочак,
way,352551275,Дубровъ,Дубраў,
way,957740258,Еврофорд,Еўрафорд,
way,146616446,Елена Next,Алена Нэкст,
way,274094177,"ЖК ""Колизей""",Калізей,
way,207694744,Жасмин,Язмін,
way,435122262,Жасмин,Язмін,
way,51182186,"Завод ""Заславские лакокраски""","Завод ""Заслаўскія лакафарбы""",
way,27904240,"Заводоуправление ОАО ""Керамика""",Заводакіраўніцтва ААТ «Кераміка»,
way,116505093,Заготовительный пункт № 5,Нарыхтоўчы пункт № 5,
way,58679915,Зал бокса,Зала боксу,
way,137835289,Зал бокса,Зала боксу,
way,270363221,Залесский киноконцертный центр,Залескі кінаканцэртны цэнтр,
way,291591414,Заплетень,Запляцень,
way,663495200,Запрудская амбулатория,Запрудская амбулаторыя,
