dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
relation,2819481,E 28,,,,,
relation,2819482,E 30,,,,,
relation,7877316,Homiel,,,,,
relation,13366053,Hrodna,,,,,
relation,26946,Klaipėda,,,,,
relation,4518069,Kużnica Białostocka,,,,,
relation,9667907,Lasnaja,,,,,
relation,9581030,"Minsk, Busbahnhof Passazhirsky",,,,,
relation,9581031,München ZOB,,,,,
relation,7915874,Rechytsa,,,,,
relation,1636400,Rīga,,,,,
relation,2369189,Siedlce,,,,,
way,954271103,Vilniaus - 330,,,,,
relation,12346115,Vilnius,,,,,
relation,12430846,Vilnius,,,,,
relation,2908398,«Жилой комплекс «Колбасино»,,,,,
relation,7616126,АВ Центральный,,,,,
relation,7616127,АВ Центральный,,,,,
relation,5729728,АП №4,,,,,
relation,7805598,"АС ""Берёза""",,,,,
relation,7821556,"АС ""Берёза""",,,,,
relation,8057036,"АС ""Берёза""",,,,,
relation,2072096,АС «Автозаводская»,,,,,
relation,7544656,АС Автозаводская,,,,,
relation,7547817,АС Автозаводская,,,,,
relation,7568578,АС Автозаводская,,,,,
relation,8058562,АС Бяроза,,,,,
relation,3532299,АС Речица,,,,,
relation,8084760,АС Юго-Западная,,,,,
way,230273097,Аварийная - 110,,,,,
relation,7932272,Автовокзал №2 Санкт-Петербург,,,,,
relation,7576941,Бобруйская,,,,,
relation,9417705,Бобруйская,,,,,
relation,9418651,Бобруйская,,,,,
relation,11592586,Больница (Новка),,,,,
relation,2895923,Больница №3,,,,,
way,696699346,Вилия - 110,,,,,
way,696699347,Вилия - 110,,,,,
relation,3458696,Вишнявец,,,,,
relation,2270171,Гидропривод,,,,,
relation,7911180,Гидропривод,,,,,
relation,7958451,Гидропривод,,,,,
relation,8003841,Гидропривод,,,,,
relation,4681579,Гипермаркет Евроопт,,,,,
relation,8068271,Городской Вал,,,,,
relation,8081240,Городской Вал,,,,,
relation,2886217,Грандичи–3,,,,,
relation,3739023,ДС Восточная,,,,,
relation,8066045,ДС Восточная,,,,,
relation,7568955,ДС Зелёный Луг,,,,,
relation,8065916,ДС Семашко,,,,,
relation,2625034,ДС Сикорского,,,,,
relation,4000212,ДС Юго-Западняя,,,,,
way,1060350493,Дворец - 35,,,,,
way,1060350495,Дворец - 35,,,,,
way,1060350498,Дворец - 35,,,,,
way,1060350504,Дворец - 35,,,,,
way,1060351676,Дворец - 35,,,,,
way,287430064,Довск - 35,,,,,
way,288407736,Довск - 35,,,,,
relation,8061314,Долгобродская,,,,,
way,286434554,Жлобин - 110,,,,,
way,286435095,Жлобин - 110,,,,,
way,288274919,Жлобин - 110,,,,,
way,288306017,Жлобин - 110,,,,,
way,885898735,Жлобин - 110,,,,,
way,1071939031,Жлобин - 110,,,,,
way,230015134,Жлобин-Западная - 330,,,,,
way,230015142,Жлобин-Западная - 330,,,,,
way,230015146,Жлобин-Западная - 330,,,,,
way,273163422,Жлобин-Западная - 330,,,,,
way,288274925,Жлобин-Западная - 330,,,,,
way,288276161,Жлобин-Западная - 330,,,,,
way,338447323,Жлобин-Западная - 330,,,,,
way,338447325,Жлобин-Западная - 330,,,,,
way,726550071,Жлобин-Западная - 330,,,,,
way,726550074,Жлобин-Западная - 330,,,,,
way,726550076,Жлобин-Западная - 330,,,,,
way,726550077,Жлобин-Западная - 330,,,,,
way,726550078,Жлобин-Западная - 330,,,,,
way,726550081,Жлобин-Западная - 330,,,,,
way,726550086,Жлобин-Западная - 330,,,,,
way,798800929,Жлобин-Западная - 330,,,,,
way,1060301278,Жлобин-Западная - 330,,,,,
relation,5728487,ЗПМ,,,,,
relation,5728601,ЗПМ,,,,,
way,287484199,Забродье - 110,,,,,
way,287484200,Забродье - 110,,,,,
way,287492042,Забродье - 110,,,,,
relation,7901557,"Завод ""Кристалл""",,,,,
relation,7908787,"Завод ""Кристалл""",,,,,
relation,7963187,"Завод ""Кристалл""",,,,,
relation,3823033,Завод «ВиЗАС»,,,,,
relation,7901837,Завод литья и нормалей,,,,,
relation,7911109,Завод литья и нормалей,,,,,
relation,8037726,Завод литья и нормалей,,,,,
relation,9884678,Завод литья и нормалей,,,,,
way,287429397,Задрутье - 110,,,,,
way,294310604,Задрутье - 110,,,,,
way,294311235,Задрутье - 110,,,,,
way,294312837,Задрутье - 110,,,,,
way,294313915,Задрутье - 110,,,,,
way,295222262,Задрутье - 110,,,,,
way,799355835,Задрутье - 110,,,,,
way,799367713,Задрутье - 110,,,,,
way,1060339252,Задрутье - 110,,,,,
way,1060350492,Задрутье - 110,,,,,
way,249667864,Калинковичи - 110,,,,,
way,293287409,Калинковичи - 110,,,,,
way,293287412,Калинковичи - 110,,,,,
way,310341876,Калинковичи - 110,,,,,
relation,9418654,Каменная горка-5,,,,,
way,373750202,Кароб'е,,,,,
relation,6437755,Кооперативные гаражи,,,,,
relation,4163818,Лидахлебопрадукт,,,,,
relation,12670839,М6,,,,,
relation,7528790,Магазин Ома,,,,,
relation,8080903,Макаенка,,,,,
way,230015137,Металлургическая - 330,,,,,
way,230015159,Металлургическая - 330,,,,,
way,230015168,Металлургическая - 330,,,,,
way,726550079,Металлургическая - 330,,,,,
relation,11717955,Микрорайон Северный,,,,,
relation,1757314,Минск–Пассажирский,,,,,
way,25527492,Мирадино - 330,,,,,
way,25527492,Мирадино - 330,,,,,
way,25632178,Мирадино - 330,,,,,
way,300347047,Мирадино - 330,,,,,
way,300347047,Мирадино - 330,,,,,
